,Year,country code,Continent,CPI,date,depth,mag,mmi,Population density (people per sq. km of land area),Population growth (annual %),Population in largest city,Population in the largest city (% of urban population),"Population, total",Rural population,Rural population (% of total population),Urban population,Urban population (% of total population),Urban population growth (annual %),GDP (constant 2015 US$),GDP (current US$),GDP growth (annual %),GDP per capita (constant 2015 US$),country,Total Affected
66,1969,PER,Americas,14.17378236,1969-10-01,10.0,6.6,6.747000000000001,10.2287859375,2.76733113150829,2825827,38.32954603564,13092846,5720395,43.691,7372451,56.309,4.74379128775181,44468567081.732,6420909789.63824,3.51445891251396,3396.4019038895,Peru,3216.0
67,1969,TUR,Asia,14.17378236,1969-03-28,10.0,6.7,7.382000000000001,44.2490430466588,2.37391617626318,2597394,20.3924187510506,34055391,21318334,62.599,12737057,37.401,4.60170095662761,112719671905.255,19466666666.6667,4.0811456208947,3309.8921667132,Turkey,350.0
68,1970,IRN,Asia,15.00128211,1970-07-30,15.0,6.7,7.415,17.5064908273779,2.66170642014178,3289785,27.9954612051583,28513872,16762735,58.788,11751137,41.212,4.84740872705077,160465736067.048,10976245153.5894,11.1267678992618,5627.63752558924,Iran,10000.0
69,1970,TUR,Asia,15.00128211,1970-03-28,25.0,6.9,7.757000000000001,45.3156659693619,2.38190546869149,2772095,20.7887328929103,34876296,21541693,61.766,13334603,38.234,4.58467671634706,116364472610.572,17086956521.7391,3.2335089729326,3336.49171375802,Turkey,83448.0
70,1970,TUR,Asia,15.00128211,1970-04-23,20.0,5.7,6.0089999999999995,45.3156659693619,2.38190546869149,2772095,20.7887328929103,34876296,21541693,61.766,13334603,38.234,4.58467671634706,116364472610.572,17086956521.7391,3.2335089729326,3336.49171375802,Turkey,793.0
71,1971,TUR,Asia,15.6452573,1971-05-22,10.0,6.9,7.624,46.412695710926,2.39202364234144,2931066,21.0695423727997,35720603,21809214,61.055,13911389,38.945,4.23454712563849,122842127308.023,16256619963.7997,5.56669450058789,3438.97126563128,Turkey,88665.0
72,1972,IRN,Asia,16.15721204,1972-04-10,10.0,6.6,9.165,18.4651483337017,2.67453187845972,3652809,28.2362650983602,30075295,17138708,56.986,12936587,43.014,4.79856581274848,210067946033.272,17153463263.1086,14.4217689684027,6984.73434868293,Iran,23458.0
73,1972,NIC,Americas,16.15721204,1972-12-23,10.0,6.3,8.385,21.2622984876184,3.07005192523707,400761,32.5877588856634,2558705,1328915,51.937,1229790,48.063,3.65008284416299,6136162774.71094,880842890.071429,2.22072289156627,2398.14369984342,Nicaragua,720000.0
74,1972,PAK,Asia,16.15721204,1972-09-03,30.0,5.8,5.8660000000000005,79.6258587588211,2.72069479423856,3460589,22.2371822857141,61381982,45819808,74.647,15562174,25.353,3.78738089486417,34685313827.6455,9415016359.56604,0.813406404583475,565.073213628806,Pakistan,5000.0
75,1972,PAK,Asia,16.15721204,1972-09-03,30.0,6.2,6.318,79.6258587588211,2.72069479423856,3460589,22.2371822857141,61381982,45819808,74.647,15562174,25.353,3.78738089486417,34685313827.6455,9415016359.56604,0.813406404583475,565.073213628806,Pakistan,5000.0
76,1972,PER,Americas,16.15721204,1972-03-20,55.0,6.4,6.3420000000000005,11.1109015625,2.7486555846814,3311451,39.1020182796818,14221954,5753207,40.453,8468747,59.547,4.52941115071338,49747252387.1861,9189413409.01292,3.47753512310473,3497.91965205246,Peru,1575000.0
77,1973,MEX,Americas,17.15536031,1973-01-30,43.0,7.5,7.641,28.9741557138815,2.94463825054162,9927879,28.7639764700388,56324310,21809336,38.721,34514974,61.279,4.1711437659963,329969266443.371,55280000000,7.86111986077988,5858.38098049263,Mexico,390.0
78,1974,PAK,Asia,19.05185393,1974-12-28,33.0,5.0,,84.1972758405978,2.82286835545066,3805807,22.5478475844616,64905996,48027192,73.995,16878804,26.005,4.11555453352866,38450246497.1174,8899191919.19192,3.54019171279734,592.39899033546,Pakistan,50200.0
